feature,adf_stat,p_value,stationary_5pct
ret_1,-31.961320680581185,0.0,True
ret_5,-32.156070064109315,0.0,True
ret_10,-32.221005487455706,0.0,True
ret_20,-31.59557117608595,0.0,True
rvol_10,-16.067018415956575,5.55921661089416e-29,True
rvol_21,-16.837403876053287,1.1452297237234562e-29,True
rvol_63,-15.36540851850216,3.5664327660072496e-28,True
rsi,-26.983149491163353,0.0,True
macd_line,-25.37444049137956,0.0,True
macd_signal,-29.58027029666946,0.0,True
macd_hist,-42.90699413480703,0.0,True
atr,-13.724711155416221,1.1699942579233189e-25,True
bb_width,-16.03929353664199,5.938335341258076e-29,True
vol_z,-41.62770730260631,0.0,True
hl_range,-15.664156712503797,1.540895035327112e-28,True
